연번,사업자명,사업자등록번호,업종명(대분류),소재지
8111,코아테크코리아,1388121314,도매 및 소매업,경기도 안양시 만안구 덕천로152번길 25-0 비동 18층 1805호(안양동)
8112,신화테크,1388130185,제조업,경기 군포시 공단로 284 한림벤처타운 505호 (금정동)
8113,경한코리아,6098141845,제조업,경상남도 창원시 성산구  공단로 424 (성산동)
8114,커뮤,3148629268,정보통신업,대전광역시 유성구 테크노4로 43 202호 (현광빌딩)
8115,매봉엔지니어링,1248648304,제조업,경기 평택시 서탄면 내천길 204-2 
8116,에이치엠디지털기미상궁,1198689341,제조업,"서울특별시 금천구 가산디지털1로24 (가산동, 대륭테크노타운13차) 1402호"
8117,동남전기통신,2228106302,건설업,강원 삼척시 사대안길 16 (남양동)
8118,폭스소프트,1238600705,정보통신업,경기도 성남시 분당구 하오개로 358-3 
8119,엔셀,2208755847,정보통신업,"경기 성남시 분당구 성남대로 393 2층 A-205호 (정자동, 두산위브파빌리온)"
8120,동국,1248721942,운수 및 창고업,경기 화성시 우정읍 물미길 11-5 
8121,헤파피아,1252016885,제조업,경기도 안성시 대덕면 모산로 401-10 (대덕면)
8122,산호기계,1198116197,제조업,서울 금천구 벚꽃로38길 15 (가산동)
8123,트랜스온,1198640033,제조업,"서울특별시 금천구  가산디지털2로 60 (가산동, 원방드라이보드(주)A동 1층)"
8124,제이케이미크론,6218191175,제조업,경상남도 양산시  산막공단남13길 42 (호계동)
8125,세화파렛텍,1378611555,제조업,인천광역시 강화군 강화읍 강화산단로 107 (강화읍)
8126,씨아이엠테크,1248675999,제조업,경기 화성시 서신면 제부로 1023-23 (한림개발(주))
8127,한토커팅시스템,6158156867,제조업,경상남도 김해시 진례면 테크노밸리로 17-17 (진례면)
8128,엘에스화장품,1318617963,제조업,인천광역시 서구  도담로 176-8 (오류동)
8129,우성메텍,6138135643,제조업,경남 사천시 곤양면 곤양공단길 68 
8130,떡파는사람들,5038170718,제조업,대구 달서구 성서공단북로 250 (갈산동)
8131,태주공업,1398113869,제조업,인천 남동구 앵고개로 541 100B 13L 남동공단 (고잔동)
8132,비케이티,1248721826,제조업,"경기 화성시 동탄순환대로 830 3층 307호 (영천동, 동탄 SK V1 center)"
8133,케이지엠,1408134923,제조업,경기도 안산시 단원구  신원로133번길 10 (성곡동)
8134,화인스텍,1208735503,제조업,서울특별시 서초구  바우뫼로 142 (양재동) 화인스텍 빌딩
8135,명성에이앤티,3178124758,제조업,충청북도 청주시 청원구 오창읍 장대길 13-16 ((주)명성에이앤티)
8136,이룸디자인스킨,1058765032,제조업,서울특별시 강서구 양천로 532 13층 (더리브아너비즈타워)
8137,청운,4088125728,제조업,전라남도 화순군 동면 동농공길 12-3 (동면)
8138,지아이시스템,6098619862,정보통신업,경상남도 창원시 성산구  곰절길27번길 2 (성주동)
8139,신영이엔지,7018701874,제조업,충청남도 아산시 둔포면 아산밸리로388번길 56 
8140,천일,4108635694,제조업,광주 광산구 평동산단1번로 38 (용동)
8141,성진테크,1308658530,제조업,경기 부천시 원미구 조마루로411번길 82 4층 (원미동)
8142,글로비트,6168192018,정보통신업,"제주 제주시 청사로 20 ,3층 (도남동)"
8143,기산,5138170734,제조업,경상북도 구미시  1공단로9길 89 (공단동)
8144,아이에스티이,1358635890,제조업,경기도 화성시 향남읍 토성로 306 
8145,태성에스엔아이,2208831046,"전문, 과학 및 기술 서비스업",서울특별시 강남구 역삼로8길 15 7층
8146,한성특장/진천,1138612223,제조업,충북 진천군 덕산읍 산수산단2로 50 ((주)한성특장)
8147,삼승테크,1268627076,제조업,경기 광주시 초월읍 경충대로 1333-18 삼승테크
8148,뉴오토정밀,1378181148,제조업,경기도 화성시  안녕남로 97-21 (안녕동)
8149,카테노이드,1148689540,정보통신업,"서울 강남구 봉은사로 502 4,5층 (삼성동, 삼하빌딩)"
8150,엘아이티씨,1248733787,제조업,경기도 화성시 화성로2381번길 22-7 
8151,이앤에스텍,1378169275,제조업,경기 용인시 처인구 이동읍 덕성산단1로28번길 37 
8152,새롬정밀기술,1138163557,제조업,전라남도 장성군 남면 나노산단로 130 (남면)
8153,엔에이치네트웍스,4128119924,건설업,"전북 군산시 산단남북로 169 312호 (오식도동, 군산친환경자동차부품알앤디센터)"
8154,씨씨미디어서비스,1138643065,정보통신업,"서울 구로구  가마산로25길 9-9 (구로동, 케이엠타워 7층)"
8155,서우,5038612334,제조업,경상북도 칠곡군 왜관읍 공단로9길 36 (왜관읍)
8156,뉴클리어엔지니어링,3148638146,"전문, 과학 및 기술 서비스업",세종특별자치시  집현동(소담동) 세종대명벨리온 B동 811호
8157,둔차오토모티브,5148173369,제조업,대구 달서구 성서공단북로18길 15 2호 (호산동)
8158,화인푸드,1228620033,제조업,인천 계양구 안남로457번길 16 1동 1~3층 (효성동)
8159,폴리텍,3028123058,제조업,충북 옥천군 옥천읍 마암로2길 31 
8160,두리기업,5028181814,제조업,경상북도 영천시 대창면 금박로 911-1 (대창면)
8161,디에스엔프라,5158143188,제조업,경상북도 경산시 진량읍 아사길45-28 
8162,오스테오닉,1138657540,제조업,"서울 구로구 디지털로29길 38 1206호(구로동, 에이스테크노3차)"
8163,디비시스,1198629343,제조업,"경기 광명시 오리로651번길 8 621,622호 (하안동, 광명현대테라타워)"
8164,마그피아,3018610050,제조업,충북 청주시 청원구 오창읍 농소길 33-14 1호
8165,이엠코,1248691096,"사업시설 관리, 사업 지원 및 임대 서비스업",경기도 오산시 신장동(내삼미동) 395번지 16호
8166,맑은동해,4098607470,제조업,강원 동해시 공단3로 2 (구호동)
8167,피유텍,1068629196,제조업,경기도 화성시 향남읍 토성로 367-4 (향남읍)
8168,지벤세이프티,1308677124,도매 및 소매업,충청남도 아산시 영인면 장영실로 838-25 (영인면)
8169,구비테크,5148177614,제조업,대구광역시 달성군 현풍면 테크노대로4길 17 (현풍면)
8170,한불화농,1148100050,제조업,경기 용인시 기흥구 언동로 192 (상하동)
8171,엠에프테크,1348709251,제조업,경기 안산시 단원구 해안로 315 반월공단 9블럭 50롯트 에이취동 (초지동)
8172,우성하이텍,1308668834,제조업,"경기 부천시 오정구 산업로8번길 68 2층 (오정동, 우성하이텍 공장)"
8173,비전네이처,1378620530,제조업,경기 김포시 하성면 귀전로 188-1 
8174,휴먼스,1248681550,제조업,인천광역시 서구 도담7로 8 
8175,서원푸드,5158143776,제조업,경북 경산시 자인면 자인공단2로 41
8176,에코아이디,1248702509,제조업,경기 화성시 팔탄면 약수터길 127-10 (팔탄면)
8177,복정제형㈜,1058175799,도매 및 소매업,서울 마포구 마포대로 86 3층 (도화동)
