연번,회사명,대표자명,업종,지역,확인서기간만료일
303,농업회사법인 합자회사 꿈앤들,조한희,식품,충남,2024-08-23
304,혜성도기,강석규,기타,경남,2024-08-23
305, 다호피앤씨,권영종,화학,충남,2024-08-23
306, 인퍼스,서미화,기타,충남,2024-08-23
307,대산애드,이경세,기타,경기,2024-08-23
308,대신종합주방기구,박찬의,기계금속,경기,2024-08-23
309,이노밴,김기진,전기전자,인천,2024-08-23
310,가로등이야기,이성형,기계금속,세종,2024-08-23
311,은성화학,이경순,기계금속,경기,2024-08-23
312,제이알에스씨,김종록,S/W,경기,2024-08-23
313,에이치티씨,박영국,전기전자,경기,2024-08-24
314,이에스테크놀로지,장은석,서비스,대구,2024-08-24
315,코지맘,박영철,화학,경기,2024-08-24
316,엔티에스,최인형,기계금속,경기,2024-08-24
317,유원에스피,이준엽,건설,경기,2024-08-24
318, 에스에이티,정재한,전기전자,경기,2024-08-24
319,태성건설산업,김재근,건설,경북,2024-08-24
320,엠프로,장용일,전기전자,경기,2024-08-24
321,대양신소재,한연화,화학,강원,2024-08-24
322,동아풍력,최본현,기계금속,경남,2024-08-24
323,승일일렉트로닉스,유춘희,전기전자,경기,2024-08-24
324,에버트러스트정보기술,김창호,S/W,서울,2024-08-24
325,유일금속,설필수,기계금속,경기,2024-08-24
326,산이건설 ,고형운,건설,전남,2024-08-24
327,미트뱅크,김영준,식품,인천,2024-08-24
328,바이오써포트,김경민,서비스,경기,2024-08-24
329,신영지앤티,박현후,기계금속,대구,2024-08-24
330,이피에스솔루션,박변주,서비스,경기,2024-08-24
331,케이에스아이,채종술,건설,전북,2024-08-24
332,한일에스티엠,한영기,정보통신,경기,2024-08-24
333,더블유아이케이 ,이용규,환경,충남,2024-08-24
334,동양프론테크,신원식,화학,경기,2024-08-24
335,미주엔비켐,박윤철,환경,경기,2024-08-24
336,성보전기공업,배영호,전기전자,부산,2024-08-24
337,영일엠,문경록,기타,경기,2024-08-24
338,웰텍,이성식,기계금속,강원,2024-08-24
339,케이유피피 ,"오근성,최원석",화학,충남,2024-08-24
340,가이드삼정,문용만,전기전자,서울,2024-08-25
341,테이블매니저,안병준,S/W,서울,2024-08-25
342,코어라인,장영희,전기전자,울산,2024-08-25
343,반디,이지훈,전기전자,대구,2024-08-25
344, 씨.피코리아,"김영택,김성모",화학,광주,2024-08-25
345,씨앤지테크,홍은표,환경,울산,2024-08-25
346,엠케이,홍영우,전기전자,부산,2024-08-25
347,명성공업,윤재규,기계금속,울산,2024-08-25
348,인투스카이,"이기복, 정선웅",기타,인천,2024-08-26
349,농업회사법인깨비농장,조만익,기타,충남,2024-08-26
350, 올계 농업회사법인,문태연,식품,충북,2024-08-26
351, 이아이피,이재수,S/W,인천,2024-08-26
352, 파나시아,문익환,기타,충남,2024-08-26
353, 폴리하이텍,김용덕,기계금속,인천,2024-08-26
354,브니엘월드,배금숙,화학,강원,2024-08-26
355,지아이이앤에스,윤미옥,S/W,서울,2024-08-26
356,에이앤티,정상훈,기계금속,대구,2024-08-26
357,하이퍼텍,김기경,전기전자,충북,2024-08-26
358,비비엠씨,김성진,서비스,서울,2024-08-26
359,케이에스케미칼,"유창준,유은정",화학,울산,2024-08-26
360,내외정보기술,박창윤,S/W,경기,2024-08-26
361,이오렉스,조태현,기계금속,서울,2024-08-26
362,코스켐,최재환,화학,전북,2024-08-26
363,유한회사 애니체,박점희,기타,광주,2024-08-26
364,아이에이파워트론,이용준,전기전자,인천,2024-08-26
365, 알티자동화,최동열,전기전자,충남,2024-08-27
366,코리아스틸 ,황현민,기계금속,충남,2024-08-27
367, 산돌식품,이호성,식품,강원,2024-08-27
368,천마기계,조용민,기계금속,경남,2024-08-27
369, 이앤에스헬스케어,서경훈,바이오,대전,2024-08-28
370,텐스퀘어,권세영,정보통신,서울,2024-08-28
371,성지산업,김정규,기계금속,대구,2024-08-28
372,에스앤피,김길태,기계금속,부산,2024-08-28
373,정유니브,정문국,정보통신,부산,2024-08-28
374,세원하이텍,장영기,전기전자,경북,2024-08-29
375,경민에프에이,정동환,전기전자,충남,2024-08-29
376,엔에스텍,백성규,기타,충남,2024-08-29
377,플라이쿱,김기선,섬유,서울,2024-08-29
378, 우정통상,"이계상, 이희준",기타,전남,2024-08-29
379,케이원텍,최원출,전기전자,경남,2024-08-29
380,삼인,심영식,기계금속,경기,2024-08-29
381,시원광기술,김일목,기타,경기,2024-08-29
382,유림특수화학,유수열,화학,경기,2024-08-29
383,박스코,김호성,전기전자,부산,2024-08-29
384,에바다,조충길,화학,경기,2024-08-30
385,에이치이공일,"이대성, 하경수",기타,경기,2024-08-30
386,온코어에스엔티,강성천,S/W,서울,2024-08-30
387,스마트마인드,이상수,S/W,서울,2024-08-30
388,에스지에이비엘씨,최영철,서비스,서울,2024-08-30
389,고려엔지니어링,이해문,서비스,강원,2024-08-30
390,센트리,강두수,환경,서울,2024-08-30
391,목송엘리베이터,이명식,건설,광주,2024-08-30
392, 멘토티앤씨,이길준,기계금속,인천,2024-08-30
393,기성정공,서점자,기타,광주,2024-08-30
394,에이스씨엔텍,장덕흠,기타,경북,2024-08-30
395,유토닉스,박종화,정보통신,대구,2024-08-30
396,푸른들이엠사료,김윤칠,바이오,경남,2024-08-30
397, 다스,이춘진,기계금속,경남,2024-08-30
398,SMS테크,김재운,기계금속,경남,2024-08-30
399,건원이에프티,이화진,건설,강원,2024-08-30
400,효림이엔아이,허정,기타,서울,2024-08-30
401,동아특수건설,심석래,건설,서울,2024-08-30
402,루브캠코리아,이승우,화학,대구,2024-08-30
403,다우실란트산업,한상욱,화학,서울,2024-08-30
404,반다이앤에스,이형진,환경,경북,2024-08-31
405,업테라,최시우,바이오,대구,2024-08-31
406,이노켐,우견윤,화학,경북,2024-08-31
407,정윤정밀,하명순,기계금속,대구,2024-08-31
408, 시큐웍스,박기성,전기전자,대전,2024-08-31
409,신성하이텍,최영옥,기계금속,대구,2024-08-31
410,인피니티케어,강건욱,서비스,서울,2024-08-31
411,제이솔루션,권세기,S/W,대구,2024-08-31
412,프로테인웍스,유종일,바이오,대전,2024-08-31
413,코애드,이철용,기타,경남,2024-08-31
414,차모스코스메틱,윤찬모,화학,경기,2024-08-31
415,케이씨엘,이용석,화학,경북,2024-08-31
416,부흥콘크리트,김태영,기타,경북,2024-08-31
